fips,mtfcc,lane_miles
2063,S1400,304.1207406140623
2066,S1200,874.6930676236818
2066,S1400,499.2348791941036
2068,S1200,311.90796416984676
2068,S1400,760.9324331684564
2070,S1400,248.75008386982927
2090,S1200,878.2695077131018
2090,S1400,3875.1453429730145
2100,S1200,168.00539808451484
2100,S1400,197.8749563286259
2105,S1200,10.67934100915889
2105,S1400,497.6327841672745
2110,S1200,145.89608680965867
2110,S1400,363.1833930029037
2122,S1200,861.8340669377321
2122,S1400,4517.218875710316
2130,S1200,124.4745939674718
2130,S1400,182.32735206345833
2150,S1400,460.2173699306628
2158,S1400,157.26961193275332
2164,S1400,321.00600672576593
2170,S1100,178.22768139871357
2170,S1200,1224.9735728686292
2170,S1400,5336.731064366967
2180,S1400,1135.6797248630523
2185,S1200,722.811107121728
2185,S1400,593.9998564580196
2188,S1400,367.526129377316
2195,S1200,65.522774411456
2195,S1400,515.6475619797538
2198,S1200,127.5756392710129
2198,S1400,1580.487436180371
2220,S1200,0.7308987183146656
2220,S1400,277.0299308011517
2230,S1200,52.43334195872338
2230,S1400,62.97055209933213
2240,S1200,1878.7215974626718
2240,S1400,937.365473690483
2275,S1400,191.08113682539215
2282,S1400,295.97906569072535
2290,S1200,1754.716536803268
2290,S1400,1419.554790203329
4001,S1100,466.1126854995358
4001,S1200,1728.2316420020964
4001,S1400,41834.5307518131
4003,S1100,922.7681865843608
4003,S1200,924.3258649573626
4003,S1400,17028.89317175425
4005,S1100,1471.3398647717947
4005,S1200,1956.339361300755
4005,S1400,47526.60740783358
4007,S1200,1408.5881671131217
4007,S1400,8626.744977514025
4009,S1200,419.7620897113356
4009,S1400,7520.302674088572
4011,S1200,619.2974669077457
4011,S1400,1819.2381200741745
4012,S1100,943.9177039038758
4012,S1200,747.3281826864152
4012,S1400,6806.201700030215
4013,S1100,7364.97436735366
4013,S1200,1713.5552974049049
4013,S1400,54255.11708437147
4015,S1100,1389.719778973656
4015,S1200,974.9416875679508
4015,S1400,31440.486097436496
4017,S1100,477.35293041898865
4017,S1200,1559.5972562585594
4017,S1400,32664.08083409451
4019,S1100,826.7874687352532
4019,S1200,1264.571741521888
4019,S1400,28511.07097592782
4021,S1100,819.5672583522963
4021,S1200,1277.5315692439287
4021,S1400,20935.62690879819
4023,S1100,240.86084331368616
4023,S1200,265.58620682533393
4023,S1400,4292.686797161805
4025,S1100,1040.6430270499309
4025,S1200,1039.2981617989506
4025,S1400,20821.549177638688
4027,S1100,635.7399367903702
4027,S1200,322.1731231619878
4027,S1400,10369.842362989077
5001,S1200,821.1230639734216
5001,S1400,3455.9207116230696
5003,S1200,664.1863781420957
5003,S1400,4023.572725362416
5005,S1200,634.2296655366416
5005,S1400,3461.5743159759336
5007,S1100,478.32908172511844
5007,S1200,1152.4781594669823
5007,S1400,9717.07237504122
5009,S1200,595.7802015656752
5009,S1400,3032.9619279774406
5011,S1200,793.2472658786007
5011,S1400,3166.7823689444094
5013,S1200,391.613127978952
5013,S1400,2804.4673728306257
5015,S1200,499.63153668318154
5015,S1400,3055.5081028967293
5017,S1200,533.6503348884809
5017,S1400,2765.5807383523766
5019,S1100,220.49910681015263
5019,S1200,556.8583518272656
5019,S1400,4569.09939146929
5021,S1200,424.18423729820125
5021,S1400,2262.699675307559
5023,S1200,840.3618025236342
5023,S1400,2515.7002914296017
5025,S1200,377.4597774946352
5025,S1400,1679.4946706634394
5027,S1200,478.5105349189117
5027,S1400,2333.905285612685
5029,S1100,170.76780848646445
5029,S1200,637.2704497175906
5029,S1400,2529.277513733589
5031,S1100,419.4687638461102
5031,S1200,929.8568419214254
5031,S1400,6032.028665094483
5033,S1100,459.1635577064357
5033,S1200,696.015007679483
5033,S1400,2894.7073204463677
5035,S1100,452.31437450864655
5035,S1200,532.2944666549093
5035,S1400,2856.5303785919878
5037,S1200,534.832704395081
5037,S1400,2520.30619778781
5039,S1200,394.6576521810424
5039,S1400,2059.107765407072
5041,S1200,498.39128278997737
5041,S1400,2184.1474062340862
5043,S1200,495.74790200416635
5043,S1400,4106.469158009881
5045,S1100,251.07280122319656
5045,S1200,831.0023737006157
5045,S1400,3569.8934169436025
5047,S1100,153.7955851584558
5047,S1200,549.6569304785538
5047,S1400,3504.524022907707
5049,S1200,504.652663663556
5049,S1400,3836.9404886133902
5051,S1100,311.7856585556145
5051,S1200,661.6262462891427
5051,S1400,5335.99066088876
5053,S1100,20.01270402940612
5053,S1200,687.9743166425393
5053,S1400,4929.140512941145
5055,S1200,676.5945289198037
5055,S1400,3728.5639494470615
5057,S1100,185.22412773409263
5057,S1200,697.9322812754957
5057,S1400,3926.4224491556747
5059,S1100,199.14871384316973
5059,S1200,529.2045861414688
5059,S1400,3838.5720117571404
5061,S1200,467.67646298812326
5061,S1400,2592.256277166026
5063,S1200,974.8176665446216
5063,S1400,2710.17909412853
5065,S1200,366.4441566920293
5065,S1400,2896.1615089750244
5067,S1100,280.7368511493288
5067,S1200,694.0594067387482
5067,S1400,2060.5302045305993
5069,S1100,411.8320929451942
5069,S1200,891.4849893323008
5069,S1400,4279.8791199208845
5071,S1100,219.72218871786055
5071,S1200,437.4356625887773
5071,S1400,3751.329481553817
5073,S1200,331.3326447996359
5073,S1400,1737.9178655805154
5075,S1100,114.20578423495584
5075,S1200,590.5676927760122
5075,S1400,2870.7360903160984
5077,S1200,395.2402050557493
5077,S1400,1907.5619452494623
5079,S1200,461.27479322361484
5079,S1400,2222.694650381146
5081,S1200,416.09945298438055
5081,S1400,2471.794847975925
5083,S1200,669.7153161629002
5083,S1400,2065.056985722699
5085,S1100,253.59923337399388
5085,S1200,670.1378460554267
5085,S1400,4782.572605807775
5087,S1200,729.9621941929372
5087,S1400,6047.4569030466
5089,S1200,781.5248566166
5089,S1400,4300.0274877363645
5091,S1100,788.3395029359948
