probability_rank,fips,county_name,state,probability_score,probability_tier,drought_score,fire_frequency_score,max_consecutive_weeks,recent_intensity,episode_frequency,total_drought_weeks,fire_count,fires_per_100k,last_drought_end
282,6095,Solano County,CA,0.4023057981093178,Moderate,0.47074966854678363,0.005155015097593864,167,69.39720562812717,3,175,287,50.40608944707618,2023-04-10
283,6067,Sacramento County,CA,0.4022075920907247,Moderate,0.4710661617020378,0.0029379386160995487,167,69.51671629932964,3,176,542,28.744532063916164,2023-04-10
284,6101,Sutter County,CA,0.40191610866672534,Moderate,0.4710661617020378,0.0016810027644420333,167,69.51671629932964,3,176,19,16.46386051068261,2023-04-10
285,46121,Todd County,SD,0.4002278042593772,Moderate,0.46540127305993334,0.02650406963441799,162,77.07069199766602,2,165,35,258.9932869504899,2023-10-02
286,48429,Stephens County,TX,0.40019869858484314,Moderate,0.4681556764890963,0.010769134494050247,124,73.55924225291122,6,185,3,105.25785954942542,2023-12-25
287,46071,Jackson County,SD,0.39978923848352044,Moderate,0.4629887230318502,0.038284999601086646,158,71.77672946182422,3,164,5,374.09679944996924,2024-01-01
288,46031,Corson County,SD,0.39978207609475963,Moderate,0.46103258007934184,0.049339733209719565,166,73.06097771368928,2,172,14,482.1051376456597,2023-06-26
289,31165,Sioux County,NE,0.3994136340551181,Moderate,0.4523824837805373,0.09677172689891975,162,72.15467969473103,2,168,7,945.5311230242916,2023-07-10
290,56045,Weston County,WY,0.39918573265710583,Moderate,0.4495353261877721,0.11192404053014941,161,71.66958139599076,2,170,74,1093.5741490318094,2023-07-03
291,48281,Lampasas County,TX,0.3989933820146494,Moderate,0.46877811146577586,0.0020441750929342532,119,76.74434981014309,6,207,2,20.012172127026925,2024-01-01
292,32005,Douglas County,NV,0.3989737440417604,Moderate,0.4650072501852356,0.023329266020058144,165,68.40884483733822,3,177,101,227.9744243867737,2023-03-27
293,48269,King County,TX,0.3989580548308537,Moderate,0.43130886815436664,0.21423304956295527,95,70.01294554199305,7,206,1,2093.1663996720104,2023-12-25
294,56009,Converse County,WY,0.3987111004911802,Moderate,0.4536635140377115,0.08648255778292716,162,72.63840827882193,2,172,78,845.0025985951794,2023-07-10
295,46041,Dewey County,SD,0.3985151423917891,Moderate,0.4659788484288682,0.01584555704943306,167,74.33871917486191,2,173,7,154.85615685781468,2023-07-10
296,6017,El Dorado County,CA,0.39821694084082376,Moderate,0.4646087906089996,0.022323879015434003,165,68.25838290597432,3,176,435,218.1514667780806,2023-03-27
297,40129,Roger Mills County,OK,0.3972674303878731,Moderate,0.45485527223931266,0.07350336897309069,110,76.79708697841657,6,222,15,718.1917079750933,2024-01-01
298,6045,Mendocino County,CA,0.3958643301369812,Moderate,0.45647270394458483,0.05828679967638103,162,66.95616546423173,3,173,549,569.5208832440737,2023-03-27
299,6097,Sonoma County,CA,0.39535725619376016,Moderate,0.46437374919562413,0.011324335343536784,165,68.16962914745991,3,176,682,110.68235219129672,2023-03-27
300,4019,Pima County,AZ,0.3949922976580307,Moderate,0.4657331503339909,0.002046724377080791,145,73.74021498690873,4,192,258,20.037079461206478,2024-01-01
301,40137,Stephens County,OK,0.3949582820864618,Moderate,0.46534451078150085,0.0041024938799969456,120,74.85777711098524,6,192,18,40.12261526733009,2024-01-01
302,32510,Carson City,NV,0.39439060163836626,Moderate,0.4646087906089996,0.005823925576635029,165,68.25838290597432,3,176,21,56.941562105277484,2023-03-27
303,48133,Eastland County,TX,0.39438895895563014,Moderate,0.4644518103827679,0.006706461549653973,108,68.11481802769538,8,182,6,65.56422523026261,2023-12-25
304,40075,Kiowa County,OK,0.3926717470485409,Moderate,0.46410670471464593,0.0012572358421104276,121,87.28639281501245,4,232,2,12.323520029968021,2024-01-01
305,6005,Amador County,CA,0.3922360658183763,Moderate,0.45734517559854804,0.0376966184865434,163,66.69560453450998,3,174,157,368.34812484075775,2023-03-13
306,6109,Tuolumne County,CA,0.3915452954268125,Moderate,0.4505515512587914,0.07321789095850036,161,65.31029888111614,3,173,329,715.402495042524,2023-02-27
307,31173,Thurston County,NE,0.3915116767384241,Moderate,0.4624664777507178,0.005550074544637681,141,81.60976460988628,3,188,1,54.26594856936106,2024-01-01
308,46015,Brule County,SD,0.3910937404618664,Moderate,0.4615649511788753,0.008856871774789134,160,76.80209043698461,2,162,2,86.57443163401439,2023-10-16
309,46003,Aurora County,SD,0.39038097165637,Moderate,0.4615649511788753,0.0057832676113719755,160,76.80209043698461,2,162,3,56.5443205779872,2023-10-16
310,48253,Jones County,TX,0.3902969146743218,Moderate,0.46032867260898125,0.012426886785986236,119,73.5537654569085,6,198,10,121.45463791885423,2023-11-27
311,16007,Bear Lake County,ID,0.3890972349585787,Moderate,0.4582560985977279,0.018999067125529692,148,69.14677048821011,4,175,17,185.66697463605362,2023-07-10
312,20167,Russell County,KS,0.38901076818129776,Moderate,0.46025666522459296,0.0072888329640236095,129,74.36945210273771,5,173,2,71.25418311668489,2024-01-01
313,6009,Calaveras County,CA,0.3888318374805286,Moderate,0.4501530916825556,0.06377501044224462,161,65.15983694975222,3,172,261,623.1424851274256,2023-02-27
314,48319,Mason County,TX,0.3885891003072123,Moderate,0.45105118570172653,0.05763870737719417,108,76.54065777429585,6,211,7,563.188810965287,2024-01-01
315,46085,Lyman County,SD,0.3884413727559353,Moderate,0.4489290963428042,0.06902772701382717,163,77.00365361021309,1,163,11,674.4632322385588,2023-10-02
316,46033,Custer County,SD,0.3883217004061903,Moderate,0.44934933146582373,0.066130169276304,161,71.59934811071697,2,163,65,646.1531519475653,2024-01-01
317,46065,Hughes County,SD,0.38830622989228714,Moderate,0.4602888866181935,0.004068119236395669,155,72.5272891670976,3,165,5,39.786763833647086,2023-10-02
318,40043,Dewey County,OK,0.3882210572169162,Moderate,0.45555016970449713,0.030555526827459215,109,77.64950063020096,6,220,5,298.57733973577217,2024-01-01
319,6069,San Benito County,CA,0.38801051180652846,Moderate,0.45711013418517255,0.02080716811010014,163,66.60685077599558,3,174,130,203.332708569338,2023-03-13
320,48031,Blanco County,TX,0.38755651985643524,Moderate,0.4592402695250436,0.006777814291447848,108,72.88991144637045,7,201,3,66.26136469464954,2024-01-01
321,6107,Tulare County,CA,0.3873109281282741,Moderate,0.45903138592522724,0.00690253291668856,163,67.33233276886354,3,179,257,67.47990617481518,2023-03-13
322,6019,Fresno County,CA,0.38677987307393225,Moderate,0.45870397249011596,0.006467993677789483,163,67.20869850145122,3,178,498,63.2343166621328,2023-03-13
323,48439,Tarrant County,TX,0.38623072634129646,Moderate,0.45942582389652553,9.171275081332378e-06,119,73.21284163650792,6,187,6,0.12952380915752937,2024-01-01
324,48265,Kerr County,TX,0.3860857270513068,Moderate,0.4591329567495104,0.0010436064779032574,109,79.0023933465733,6,223,3,10.2362917497859,2024-01-01
325,48125,Dickens County,TX,0.3860318996288326,Moderate,0.45726796458740576,0.01138055211002039,111,70.37510900921984,7,194,1,111.231608260379,2023-10-30
326,6047,Merced County,CA,0.38586060328550836,Moderate,0.45711013418517255,0.011536324983665823,163,66.60685077599558,3,174,306,112.75355983461428,2023-03-13
327,6039,Madera County,CA,0.3856856057065295,Moderate,0.45509905793178607,0.022178630521508366,162,66.43746433512719,3,177,379,216.73234181227556,2023-03-06
328,6053,Monterey County,CA,0.38507134448449115,Moderate,0.45711013418517255,0.008132880391094905,163,66.60685077599558,3,174,351,79.50080064577001,2023-03-13
329,40141,Tillman County,OK,0.3847177161937253,Moderate,0.4581433455915914,0.0007526711671323065,119,79.4715845278023,5,211,1,7.39375926087293,2024-01-01
