FOB,Region,Regulating Agency,Water System No,Water System Name,Principal County Served,"Principal County Served, State",Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 01 - KLAMATH,CA0810002,SMITH RIVER C.S.D.,DEL NORTE,"DEL NORTE, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,2568,NULL,NULL,2568,0,NULL,26,0,575,601,DAVCS,Disadvantaged Small Community Water System,4/25/2022,SMITH RIVER,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA69 - SAN JOAQUIN COUNTY,CA3900840,SMK CHEVRON,SAN JOAQUIN,"SAN JOAQUIN, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,1000,1000,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,2/7/2024,ACAMPO,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA35 - CALAVERAS COUNTY,CA0500096,SMOKEHOUSE BBQ,CALAVERAS,"CALAVERAS, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,NULL,125,125,0,NULL,0,0,1,1,N1,Transient Non-Community Water System,10/22/2018,VALLEY SPRINGS,NULL,,NULL,
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900316,SMUD POWERPINES CAMP,EL DORADO,"EL DORADO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,311,311,NULL,NULL,56,NULL,NULL,56,N1,Transient Non-Community Water System,6/25/2021,POLLOCK PINES,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 08 - SANTA ANA,CA3000980,SMWD-NICHOLS INSTITUTE,ORANGE,"ORANGE, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,SWP,Surface Water Purchased,NULL,1600,NULL,1600,0,NULL,1,1,0,2,SP,Non-Transient Non-Community Water System,2/23/2016,RANCHO SANTA MARGARITA,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 11 - MERCED,CA2400322,SNELLING CHEVRON,MERCED,"MERCED, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,30,30,0,NULL,2,0,1,3,N1,Transient Non-Community Water System,8/7/2020,SNELLING,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 11 - MERCED,CA2400062,SNELLING MERCED FALLS SCHOOL,MERCED,"MERCED, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,67,NULL,67,0,NULL,4,0,0,4,SP,Non-Transient Non-Community Water System,5/6/2019,SNELLING,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600707,SNOW SUMMIT,SAN BERNARDINO,"SAN BERNARDINO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,500,75000,75500,0,NULL,4,0,0,4,N1,Transient Non-Community Water System,5/20/2021,BIG BEAR LAKE,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600765,SNOW VALLEY MOUNTAIN RESORT,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,35,35,0,NULL,5,0,0,5,N1,Transient Non-Community Water System,10/12/2022,RUNNING SPRINGS,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600262,SNOWCREST HEIGHTS IMP ASSOC,SAN BERNARDINO,"SAN BERNARDINO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,600,NULL,NULL,600,0,NULL,3,0,122,125,SC,Small Community,6/12/2024,MOUNT BALDY,NULL,,D1,Distribution Operator Level 1
