FOB,Region,Regulating Agency,Water System No,Water System Name,Principal County Served,"Principal County Served, State",Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 21 - VALLEY,CA5102016,PASQUINI'S (MICHELI) WS,SUTTER,"SUTTER, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,150,150,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,3/3/2022,LIVE OAK,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 25 - MARIN,CA4901038,PASSALACQUA WINERY,SONOMA,"SONOMA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,0,NULL,0,0,1,1,N1,Transient Non-Community Water System,8/21/2002,HEALDSBURG,TD,Treatment or distribution operator of any grade,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA69 - SAN JOAQUIN COUNTY,CA3901469,PASTOR ST BERNARD CHRCH WTR SYS,SAN JOAQUIN,"SAN JOAQUIN, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,8/5/2024,TRACY,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 24 - TULARE,CA5402038,PATTERSON TRACT CSD,TULARE,"TULARE, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,550,NULL,NULL,550,0,NULL,15,0,138,153,DAVCS,Disadvantaged Small Community Water System,6/10/2022,VISALIA,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 10 - STOCKTON,CA5010017,"PATTERSON, CITY OF",STANISLAUS,"STANISLAUS, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,23304,NULL,NULL,23304,0,NULL,501,0,6608,7109,C1,Large Water System,11/14/2022,PATTERSON,TD,Treatment or distribution operator of any grade,D4,Distribution Operator Level 4
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 03 - MENDOCINO,CA2301004,PATTERSONS PUB,MENDOCINO,"MENDOCINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,160,160,NULL,NULL,1,NULL,NULL,1,N1,Transient Non-Community Water System,NULL,MENDOCINO,TD,Treatment or distribution operator of any grade,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 10 - STOCKTON,CA0300112,PAUL J. WINES,AMADOR,"AMADOR, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,5/19/2022,PLYMOUTH,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 14 - SAN DIEGO,CA3700934,PAUMA VALLEY WATER COMPANY,SAN DIEGO,"SAN DIEGO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,185,NULL,NULL,185,19,NULL,7,0,50,76,DAVCS,Disadvantaged Small Community Water System,1/18/2017,PAUMA VALLEY,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA87 - YOLO COUNTY,CA5700798,PAVESTONE,YOLO,"YOLO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,40,NULL,40,0,NULL,1,1,0,2,SP,Non-Transient Non-Community Water System,12/9/2019,WINTERS,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA87 - YOLO COUNTY,CA5700723,PAYNE FARM LABOR CAMP,YOLO,"YOLO, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,23,23,0,NULL,0,0,6,6,XS,State Small Water System,2/28/2022,WOODLAND,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA58 - NAPA COUNTY,CA2800112,"PCSH, LLC",NAPA,"NAPA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,NULL,25,0,NULL,1,0,0,1,NULL,,5/17/2022,ST. HELENA,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 09 - SACRAMENTO,CA3110035,PCWA - WEIMAR,PLACER,"PLACER, California",C,Community,C,Community,A,Active,P,Private,SW,Surface Water,1694,NULL,NULL,3185,0,NULL,10,0,603,613,SC,Small Community,2/8/2024,AUBURN,T3,Treatment Operator Level 3,D2,Distribution Operator Level 2
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 28 - YOSEMITE,CA5500013,PEACH GROWERS TRACT IMPROV ASSOC,TUOLUMNE,"TUOLUMNE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,60,60,0,NULL,0,0,20,20,N1,Transient Non-Community Water System,9/19/2019,GROVELAND,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA57 - MONTEREY COUNTY,CA2702213,PEACHTREE RANCH WS, ,,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 19 - TEHACHAPI,CA1503683,PEAK TO PEAK MOUNTAIN CHARTER SCHOOL WS,KERN,"KERN, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GWP,Groundwater Purchased,NULL,100,NULL,100,0,NULL,3,0,0,3,SP,Non-Transient Non-Community Water System,11/9/2022,PINE MOUNTAIN CLUB,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA72 - SANTA BARBARA COUNTY,CA4200972,PEAKE RANCH,SANTA BARBARA,"SANTA BARBARA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,5,7,35,47,0,NULL,2,0,1,3,NULL,,8/11/2021,NULL,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 13 - SAN BERNARDINO,CA1400043,PEARSONVILLE WATER SYSTEM,INYO,"INYO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,15,1500,1515,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,10/31/2019,PEARSONVILLE,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2701364,PEDRAZZI MWC,MONTEREY,"MONTEREY, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,273,NULL,NULL,273,0,NULL,0,0,96,96,NULL,,5/23/2024,SALINAS,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 04 - SAN FRANCISCO,CA4800818,PEDRICK PRODUCE,SOLANO,"SOLANO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,20,100,120,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,4/20/2023,DIXON,T2,Treatment Operator Level 2,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 25 - MARIN,CA4900981,PEDRONCELLI WINERY,SONOMA,"SONOMA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,6,NULL,4,2,0,12,N1,Transient Non-Community Water System,1/17/2018,GEYSERVILLE,TD,Treatment or distribution operator of any grade,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600513,PEGGY SUE'S DINER,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,19,1000,1019,0,NULL,2,0,0,2,N1,Transient Non-Community Water System,10/14/2021,YERMO,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA58 - NAPA COUNTY,CA2801027,PEJU PROVINCE,NAPA,"NAPA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,SW,Surface Water,2,25,NULL,27,0,NULL,0,1,1,2,NULL,,6/13/2022,RUTHERFORD,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 11 - MERCED,CA2400340,PELLIGRINI PROPERTIES (EL CAMPO MARKET),MERCED,"MERCED, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,30,30,0,NULL,1,1,0,2,N1,Transient Non-Community Water System,6/18/2024,PLANADA,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA75 - SHASTA COUNTY,CA4500071,PELORIA DIGGER BAY LLC,SHASTA,"SHASTA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,0,NULL,1,0,1,2,N1,Transient Non-Community Water System,9/23/2020,SHASTA LAKE,TD,Treatment or distribution operator of any grade,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 24 - TULARE,CA5403205,PENA'S DISPOSAL SERVICES,TULARE,"TULARE, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,86,NULL,86,0,NULL,4,0,0,4,SP,Non-Transient Non-Community Water System,3/19/2021,CUTLER,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA72 - SANTA BARBARA COUNTY,CA4200978,PENCE VINEYARDS,SANTA BARBARA,"SANTA BARBARA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,10,450,460,0,NULL,0,1,3,4,NULL,,1/12/2021,NULL,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA59 - NEVADA COUNTY,CA2900623,PENINSULA CAMPGROUND WATER SYSTEM,NEVADA,"NEVADA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,2,NULL,200,202,0,NULL,7,0,1,8,N1,Transient Non-Community Water System,4/12/2023,GRASS VALLEY,TD,Treatment or distribution operator of any grade,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0901246,PENINSULA RECREATION AREA,EL DORADO,"EL DORADO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,3,350,353,NULL,NULL,161,NULL,NULL,161,N1,Transient Non-Community Water System,6/20/2024,POLLOCK PINES,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA59 - NEVADA COUNTY,CA2902392,PENN VALLEY SHELL,NEVADA,"NEVADA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,4/6/2022,PENN VALLEY,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA59 - NEVADA COUNTY,CA2900532,PENN VALLEY SHOPPING CENTER,NEVADA,"NEVADA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,4,78,250,332,0,NULL,11,0,5,16,SP,Non-Transient Non-Community Water System,3/30/2023,PENN VALLEY,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 18 - SONOMA,CA4910003,PENNGROVE WATER COMPANY (PUC),SONOMA,"SONOMA, California",C,Community,C,Community,A,Active,P,Private,GWP,Groundwater Purchased,1742,NULL,NULL,1742,0,NULL,6,0,522,528,SC,Small Community,5/19/2023,PENNGROVE,NULL,,D2,Distribution Operator Level 2
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 03 - MENDOCINO,CA2300958,PENNYROYAL FARM,MENDOCINO,"MENDOCINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,5,30,37,0,NULL,2,0,1,3,N1,Transient Non-Community Water System,4/18/2019,BOONVILLE,T1,Treatment Operator Level 1,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA80 - STANISLAUS COUNTY,CA5000536,PENTECOST PROPERTIES WATER SYSTEM,STANISLAUS,"STANISLAUS, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,8/9/2021,MODESTO,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2700558,PENTECOSTAL WS,MONTEREY,"MONTEREY, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,4,25,NULL,29,0,NULL,1,0,1,2,NULL,,3/1/2023,SALINAS,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 24 - TULARE,CA5402056,PEOPLE'S FOOD AND DELI INC.,TULARE,"TULARE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,0,NULL,0,0,1,1,N1,Transient Non-Community Water System,10/11/2019,DINUBA,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 28 - YOSEMITE,CA5500116,PEPPERMINT CREEK MHP,TUOLUMNE,"TUOLUMNE, California",C,Community,C,Community,A,Active,P,Private,SW,Surface Water,280,NULL,NULL,280,0,NULL,0,0,100,100,SC,Small Community,2/29/2024,JAMESTOWN,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 25 - MARIN,CA4901329,PEPPERWOOD ENVIRONMENTAL CENTER,SONOMA,"SONOMA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,35,35,0,NULL,2,0,4,6,N1,Transient Non-Community Water System,3/9/2010,SANTA ROSA,TD,Treatment or distribution operator of any grade,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 28 - YOSEMITE,CA5500194,"PEPPERY BAR AND GRILL, THE",TUOLUMNE,"TUOLUMNE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,4500,4500,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,8/8/2022,SONORA,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA37 - CONTRA COSTA COUNTY,CA0707546,PEREZ MUTUAL WATER COMPANY, ,,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,12,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,4/1/2022,NULL,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,LPA63 - RIVERSIDE COUNTY,CA3302081,PEREZ WATER,RIVERSIDE,"RIVERSIDE, California",NP,Non-Public,LSS,Local State Small Systems,A,Active,P,Private,GW,Groundwater,20,NULL,NULL,20,0,NULL,0,0,8,8,SC,Small Community,9/30/2008,THERMAL,NULL,,NULL,
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 20 - RIVERSIDE,CA3310029,"PERRIS, CITY OF",RIVERSIDE,"RIVERSIDE, California",C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,7854,NULL,NULL,7854,0,NULL,385,0,2172,2557,C1,Large Water System,10/25/2022,PERRIS,NULL,,D2,Distribution Operator Level 2
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA64 - SACRAMENTO COUNTY,CA3400147,PERRY'S BOAT HARBOR,SACRAMENTO,"SACRAMENTO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,0,NULL,0,0,10,10,N1,Transient Non-Community Water System,5/18/2023,ISLETON,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA57 - MONTEREY COUNTY,CA2701021,PESANTE RD WS #01, ,,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2700687,PESANTE RD WS #02,MONTEREY,"MONTEREY, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,120,NULL,NULL,120,0,NULL,0,0,40,40,SC,Small Community,1/7/2022,SALINAS,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2700691,PESANTE RD WS #06,MONTEREY,"MONTEREY, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,50,NULL,NULL,50,0,NULL,0,0,16,16,SC,Small Community,4/18/2022,SALINAS,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 17 - SANTA CLARA,CA4100513,PESCADERO HIGH SCHOOL,SAN MATEO,"SAN MATEO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,192,NULL,192,0,NULL,1,0,0,1,SP,Non-Transient Non-Community Water System,9/7/2022,PESCADERO,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA58 - NAPA COUNTY,CA2803886,PESTONI FAMILY ESTATE WINERY,NAPA,"NAPA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,3,25,28,0,NULL,0,1,0,1,N1,Transient Non-Community Water System,4/25/2023,RUTHERFORD,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 25 - MARIN,CA4901079,PETALUMA LIVESTOCK AUCTION YARD,SONOMA,"SONOMA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,2/22/2023,PETALUMA,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 18 - SONOMA,CA4910006,"PETALUMA, CITY OF",SONOMA,"SONOMA, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,60665,NULL,NULL,60665,0,NULL,1747,21,18633,20401,C1,Large Water System,6/18/2024,PETALUMA,T1,Treatment Operator Level 1,D4,Distribution Operator Level 4
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 22 - ANGELES,CA1900046,PETER PITCHESS HONOR RANCHO DETN. CTR,LOS ANGELES,"LOS ANGELES, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,7000,NULL,NULL,7000,0,NULL,1952,0,0,1952,GQ,,8/16/2023,CASTAIC,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 24 - TULARE,CA5403081,"PETERS FRUIT FARMS, INC",TULARE,"TULARE, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,125,NULL,125,0,NULL,0,1,0,1,SP,Non-Transient Non-Community Water System,4/24/2019,REEDLEY,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA59 - NEVADA COUNTY,CA2900595,PETERSONS CORNER WATER SYSTEM,NEVADA,"NEVADA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,150,150,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,9/17/2020,NEVADA CITY,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA69 - SAN JOAQUIN COUNTY,CA3901301,PETES PLACE LLC,SAN JOAQUIN,"SAN JOAQUIN, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,1/30/2024,STOCKTON,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 13 - SAN BERNARDINO,CA1400147,PETITE PANTRY,INYO,"INYO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,8,10,30,48,0,NULL,1,0,5,6,N1,Transient Non-Community Water System,4/27/2022,BISHOP,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 25 - MARIN,CA4901299,PETRIFIED FOREST,SONOMA,"SONOMA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,2,300,304,0,NULL,2,0,2,4,N1,Transient Non-Community Water System,4/23/2018,CALISTOGA,TD,Treatment or distribution operator of any grade,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3601121,PETROLINK HWY 138 INC,SAN BERNARDINO,"SAN BERNARDINO, California",NTNC,Non-Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,700,725,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,2/28/2020,WEST CAJON VALLEY,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA72 - SANTA BARBARA COUNTY,CA4200971,PETROS WINERY,SANTA BARBARA,"SANTA BARBARA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,0,NULL,1,0,0,1,NULL,,9/14/2021,NULL,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2702964,PEZZINI FARMS WS,MONTEREY,"MONTEREY, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,5,NULL,25,30,0,NULL,1,1,2,4,NULL,,2/8/2023,CASTROVILLE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA57 - MONTEREY COUNTY,CA2701864,PFEIFFER POINT WS, ,,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA57 - MONTEREY COUNTY,CA2701464,PFEIFFER RIDGE WC, ,,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 24 - TULARE,CA5403054,"PFFJ, LLC",TULARE,"TULARE, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,1,24,NULL,25,0,NULL,10,0,1,11,SP,Non-Transient Non-Community Water System,6/9/2020,CORCORAN,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600192,PG & E PIPELINE OPERATION,SAN BERNARDINO,"SAN BERNARDINO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,50,NULL,50,0,NULL,10,0,0,10,SP,Non-Transient Non-Community Water System,2/22/2024,HINKLEY,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA70 - SAN LUIS OBISPO COUNTY,CA4000589,PG&E,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,SW,Surface Water,NULL,1200,NULL,1200,0,NULL,1,0,0,1,SP,Non-Transient Non-Community Water System,6/5/2024,AVILA BEACH,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA88 - YUBA COUNTY,CA5800919,PG&E,YUBA,"YUBA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,50,NULL,50,0,NULL,1,0,0,1,SP,Non-Transient Non-Community Water System,6/25/2020,OLIVEHURST,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
